"","roster_id","team","wk","matchup_id","points","opp_id","opp_team","opp_points","starters","full_name","starters_points","starter_slot","year"
"1349",8,"Caleb",7,3,170.41,10,"Dave",232.55,4992,"Dante Pettis",13.04,"WR3",2021
"1350",8,"Caleb",7,3,170.41,10,"Dave",232.55,5985,"Foster Moreau",15,"TE",2021
"1351",8,"Caleb",7,3,170.41,10,"Dave",232.55,2431,"Mike Davis",1,"FLEX",2021
"1352",8,"Caleb",7,3,170.41,10,"Dave",232.55,1264,"Justin Tucker",6,"K",2021
"1353",8,"Caleb",7,3,170.41,10,"Dave",232.55,5816,"Nick Bosa",7.5,"DL1",2021
"1354",8,"Caleb",7,3,170.41,10,"Dave",232.55,5862,"Brian Burns",17,"DL2",2021
"1355",8,"Caleb",7,3,170.41,10,"Dave",232.55,5928,"David Long",15,"LB1",2021
"1356",8,"Caleb",7,3,170.41,10,"Dave",232.55,5332,"Foyesade Oluokun",20.75,"LB2",2021
"1357",8,"Caleb",7,3,170.41,10,"Dave",232.55,4077,"Jamal Adams",4.5,"DB1",2021
"1358",8,"Caleb",7,3,170.41,10,"Dave",232.55,3262,"Justin Simmons",7.25,"DB2",2021
"1359",8,"Caleb",7,3,170.41,10,"Dave",232.55,6214,"Quincy Williams",3.25,"DB3",2021
"1360",8,"Caleb",7,3,170.41,10,"Dave",232.55,5991,"Maxx Crosby",3.5,"DFLEX",2021
"1361",9,"Calvin",7,5,225.1,7,"Carter",135.09,3161,"Carson Wentz",24.3,"QB",2021
"1362",9,"Calvin",7,5,225.1,7,"Carter",135.09,6813,"Jonathan Taylor",16.5,"RB1",2021
"1363",9,"Calvin",7,5,225.1,7,"Carter",135.09,5850,"Josh Jacobs",14.3,"RB2",2021
"1364",9,"Calvin",7,5,225.1,7,"Carter",135.09,4981,"Calvin Ridley",11.85,"WR1",2021
"1365",9,"Calvin",7,5,225.1,7,"Carter",135.09,5185,"Allen Lazard",14.5,"WR2",2021
"1366",9,"Calvin",7,5,225.1,7,"Carter",135.09,3423,"Robby Anderson",2.9,"WR3",2021
"1367",9,"Calvin",7,5,225.1,7,"Carter",135.09,3271,"Tyler Higbee",7.1,"TE",2021
"1368",9,"Calvin",7,5,225.1,7,"Carter",135.09,4137,"James Conner",12.4,"FLEX",2021
"1369",9,"Calvin",7,5,225.1,7,"Carter",135.09,6650,"Chase McLaughlin",6,"K",2021
"1370",9,"Calvin",7,5,225.1,7,"Carter",135.09,4032,"Jonathan Allen",17.5,"DL1",2021
"1371",9,"Calvin",7,5,225.1,7,"Carter",135.09,720,"Jason Pierre-Paul",20.5,"DL2",2021
"1372",9,"Calvin",7,5,225.1,7,"Carter",135.09,3276,"De'Vondre Campbell",24,"LB1",2021
"1373",9,"Calvin",7,5,225.1,7,"Carter",135.09,3747,"Cory Littleton",7,"LB2",2021
"1374",9,"Calvin",7,5,225.1,7,"Carter",135.09,1367,"Logan Ryan",8.5,"DB1",2021
"1375",9,"Calvin",7,5,225.1,7,"Carter",135.09,5036,"Justin Reid",8.25,"DB2",2021
"1376",9,"Calvin",7,5,225.1,7,"Carter",135.09,4093,"Marcus Maye",16.5,"DB3",2021
"1377",9,"Calvin",7,5,225.1,7,"Carter",135.09,5041,"Fred Warner",13,"DFLEX",2021
"1378",10,"Dave",7,3,232.55,8,"Caleb",170.41,1049,"Ryan Tannehill",20.4,"QB",2021
"1379",10,"Dave",7,3,232.55,8,"Caleb",170.41,4035,"Alvin Kamara",28.9,"RB1",2021
"1380",10,"Dave",7,3,232.55,8,"Caleb",170.41,5916,"Darrell Henderson",7.9,"RB2",2021
"1381",10,"Dave",7,3,232.55,8,"Caleb",170.41,5859,"A.J. Brown",23.3,"WR1",2021
"1382",10,"Dave",7,3,232.55,8,"Caleb",170.41,4039,"Cooper Kupp",32.6,"WR2",2021
"1383",10,"Dave",7,3,232.55,8,"Caleb",170.41,5927,"Terry McLaurin",21.7,"WR3",2021
"1384",10,"Dave",7,3,232.55,8,"Caleb",170.41,4054,"Mo Alie-Cox",10,"TE",2021
"1385",10,"Dave",7,3,232.55,8,"Caleb",170.41,7594,"Chuba Hubbard",7.6,"FLEX",2021
"1386",10,"Dave",7,3,232.55,8,"Caleb",170.41,391,"Ryan Succop",6,"K",2021
"1387",10,"Dave",7,3,232.55,8,"Caleb",170.41,1999,"Shaquil Barrett",13.4,"DL1",2021
"1388",10,"Dave",7,3,232.55,8,"Caleb",170.41,3174,"Leonard Floyd",6.75,"DL2",2021
"1389",10,"Dave",7,3,232.55,8,"Caleb",170.41,1905,"Christian Kirksey",10,"LB1",2021
"1390",10,"Dave",7,3,232.55,8,"Caleb",170.41,4203,"Anthony Walker",11,"LB2",2021
"1391",10,"Dave",7,3,232.55,8,"Caleb",170.41,6210,"Darnell Savage",9,"DB1",2021
"1392",10,"Dave",7,3,232.55,8,"Caleb",170.41,3230,"Vonn Bell",6.25,"DB2",2021
"1393",10,"Dave",7,3,232.55,8,"Caleb",170.41,3252,"Kendall Fuller",3.75,"DB3",2021
"1394",10,"Dave",7,3,232.55,8,"Caleb",170.41,3172,"DeForest Buckner",14,"DFLEX",2021
"1395",11,"Collin",7,2,162.39,5,"Parker",206.94,6768,"Tua Tagovailoa",32.54,"QB",2021
"1396",11,"Collin",7,2,162.39,5,"Parker",206.94,6694,"D'Ernest Johnson",23.8,"RB1",2021
"1397",11,"Collin",7,2,162.39,5,"Parker",206.94,1833,"Damien Williams",1.3,"RB2",2021
"1398",11,"Collin",7,2,162.39,5,"Parker",206.94,5045,"Courtland Sutton",9.3,"WR1",2021
"1399",11,"Collin",7,2,162.39,5,"Parker",206.94,7525,"DeVonta Smith",8.6,"WR2",2021
"1400",11,"Collin",7,2,162.39,5,"Parker",206.94,7090,"Darnell Mooney",6.15,"WR3",2021
"1401",11,"Collin",7,2,162.39,5,"Parker",206.94,4602,"Robert Tonyan",14.3,"TE",2021
"1402",11,"Collin",7,2,162.39,5,"Parker",206.94,2168,"Devonta Freeman",11.4,"FLEX",2021
"1403",11,"Collin",7,2,162.39,5,"Parker",206.94,59,"Mason Crosby",5,"K",2021
"1404",11,"Collin",7,2,162.39,5,"Parker",206.94,6120,"Christian Wilkins",7.5,"DL1",2021
"1405",11,"Collin",7,2,162.39,5,"Parker",206.94,6125,"Jeffery Simmons",2,"DL2",2021
"1406",11,"Collin",7,2,162.39,5,"Parker",206.94,5318,"Ja'Whaun Bentley",7,"LB1",2021
"1407",11,"Collin",7,2,162.39,5,"Parker",206.94,7155,"Tae Crowder",7.5,"LB2",2021
"1408",11,"Collin",7,2,162.39,5,"Parker",206.94,6833,"Bryce Hall",5.75,"DB1",2021
