"","roster_id","team","year","wk","matchup_id","points","opp_id","opp_team","opp_points","starters","full_name","starters_points","starter_slot"
"78",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,49,"Robbie Gould",11,"K"
"79",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,2036,"Khalil Mack",7,"DL1"
"80",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,3156,"Joey Bosa",12,"DL2"
"81",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,6119,"Devin White",6,"LB1"
"82",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,1233,"Bobby Wagner",8,"LB2"
"83",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,1686,"Tony Jefferson",4,"DB1"
"84",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,3233,"Kevin Byard",8,"DB2"
"85",5,"Parker",2019,1,3,161.4,8,"Caleb",106.74,1429,"D.J. Swearinger",8,"DB3"
"86",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,2306,"Jameis Winston",7.06,"QB"
"87",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,3164,"Ezekiel Elliott",12.3,"RB1"
"88",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,2315,"Todd Gurley",10.1,"RB2"
"89",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,947,"Julio Jones",10.1,"WR1"
"90",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,1244,"Josh Gordon",13.3,"WR2"
"91",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,4068,"Mike Williams",2.9,"WR3"
"92",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,4217,"George Kittle",6.4,"TE"
"93",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,4273,"Chris Carson",18,"FLEX"
"94",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,1192,"Lavonte David",7,"DFLEX"
"95",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,127,"Matt Bryant",0,"K"
"96",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,3973,"Myles Garrett",13,"DL1"
"97",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,2227,"Aaron Donald",1,"DL2"
"98",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,2429,"Kwon Alexander",3,"LB1"
"99",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,3291,"Blake Martinez",11,"LB2"
"100",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,1213,"Harrison Smith",11,"DB1"
"101",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,2335,"Damarious Randall",5,"DB2"
"102",6,"Frazier",2019,1,4,137.16,1,"Mingo",187.82,4963,"Minkah Fitzpatrick",6,"DB3"
"103",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,24,"Matt Ryan",18.56,"QB"
"104",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,2391,"David Johnson",19.7,"RB1"
"105",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,5170,"Phillip Lindsay",6.6,"RB2"
"106",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,2449,"Stefon Diggs",3.7,"WR1"
"107",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,2374,"Tyler Lockett",10.4,"WR2"
"108",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,147,"DeSean Jackson",27.4,"WR3"
"109",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,1339,"Zach Ertz",5.4,"TE"
"110",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,2378,"Tevin Coleman",5.6,"FLEX"
"111",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,1160,"Tahir Whitehead",6,"DFLEX"
"112",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,1266,"Greg Zuerlein",14,"K"
"113",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,4032,"Jonathan Allen",0,"DL1"
"114",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,125,"Calais Campbell",3,"DL2"
"115",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,2389,"Jordan Hicks",14,"LB1"
"116",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,2350,"Eric Kendricks",8,"LB2"
"117",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,1395,"Shawn Williams",4,"DB1"
"118",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,3262,"Justin Simmons",3,"DB2"
"119",7,"Carter",2019,1,1,154.36,10,"Dave",194.18,2135,"Ha Ha Clinton-Dix",5,"DB3"
"120",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,138,"Ben Roethlisberger",9.74,"QB"
"121",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,4018,"Joe Mixon",1.7,"RB1"
"122",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,5068,"Kerryon Johnson",6.2,"RB2"
"123",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,2216,"Mike Evans",2.8,"WR1"
"124",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,4131,"Kenny Golladay",10.2,"WR2"
"125",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,4039,"Cooper Kupp",4.6,"WR3"
"126",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,3214,"Hunter Henry",6,"TE"
"127",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,5892,"David Montgomery",4.5,"FLEX"
"128",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,3222,"Deion Jones",4,"DFLEX"
"129",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,1264,"Justin Tucker",11,"K"
"130",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,3558,"Chris Jones",1,"DL1"
"131",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,4967,"Bradley Chubb",4,"DL2"
"132",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,5843,"Devin Bush",11,"LB1"
"133",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,1875,"C.J. Mosley",19,"LB2"
"134",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,3181,"Keanu Neal",1,"DB1"
"135",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,4077,"Jamal Adams",7,"DB2"
"136",8,"Caleb",2019,1,3,106.74,5,"Parker",161.4,444,"Malcolm Jenkins",3,"DB3"
"137",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,3161,"Carson Wentz",25.02,"QB"
"138",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,4866,"Saquon Barkley",13.9,"RB1"
"139",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,4137,"James Conner",6.5,"RB2"
"140",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,1352,"Robert Woods",9.6,"WR1"
"141",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,4981,"Calvin Ridley",12.4,"WR2"
"142",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,1825,"Jarvis Landry",8.7,"WR3"
"143",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,4066,"Evan Engram",17.6,"TE"
"144",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,538,"Emmanuel Sanders",14.6,"FLEX"
"145",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,1345,"Kiko Alonso",0,"DFLEX"
"146",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,3451,"Ka'imi Fairbairn",4,"K"
"147",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,1038,"Chandler Jones",9,"DL1"
"148",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,846,"Jurrell Casey",1,"DL2"
"149",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,3206,"Joe Schobert",8,"LB1"
"150",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,1572,"Alec Ogletree",7,"LB2"
"151",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,1367,"Logan Ryan",21,"DB1"
"152",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,2414,"Clayton Geathers",4,"DB2"
"153",9,"Calvin",2019,1,5,169.32,3,"Josh",171.76,88,"Antoine Bethea",7,"DB3"
"154",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,289,"Drew Brees",20.8,"QB"
"155",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,4034,"Christian McCaffrey",32.9,"RB1"
"156",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,4035,"Alvin Kamara",16.9,"RB2"
"157",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,1689,"Adam Thielen",10.3,"WR1"
"158",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,344,"Julian Edelman",10.38,"WR2"
"159",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,2238,"John Brown",18.3,"WR3"
"160",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,4055,"O.J. Howard",3.2,"TE"
"161",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,4663,"Austin Ekeler",33.4,"FLEX"
"162",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,4070,"T.J. Watt",2,"DFLEX"
"163",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,2747,"Jason Myers",3,"K"
"164",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,2015,"Dee Ford",8,"DL1"
"165",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,2064,"Demarcus Lawrence",6,"DL2"
"166",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,3166,"Myles Jack",2,"LB1"
"167",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,3167,"Jaylon Smith",6,"LB2"
"168",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,1556,"Kenny Vaccaro",8,"DB1"
"169",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,1343,"Jordan Poyer",13,"DB2"
"170",10,"Dave",2019,1,1,194.18,7,"Carter",154.36,4964,"Denzel Ward",0,"DB3"
"171",1,"Mingo",2019,2,3,178.76,2,"Tim",139.46,4017,"Deshaun Watson",12.86,"QB"
"172",1,"Mingo",2019,2,3,178.76,2,"Tim",139.46,4029,"Dalvin Cook",25.1,"RB1"
"173",1,"Mingo",2019,2,3,178.76,2,"Tim",139.46,1833,"Damien Williams",5.6,"RB2"
"174",1,"Mingo",2019,2,3,178.76,2,"Tim",139.46,3199,"Michael Thomas",8.9,"WR1"
"175",1,"Mingo",2019,2,3,178.76,2,"Tim",139.46,4040,"JuJu Smith-Schuster",8.4,"WR2"
"176",1,"Mingo",2019,2,3,178.76,2,"Tim",139.46,1479,"Keenan Allen",9.8,"WR3"
